"Model","Location_State"
"Honda Accord","Johor"
"Mazda CX-5","Selangor"
"Toyota Vellfire","Kuala Lumpur"
"Volkswagen Passat","Johor"
"Porsche 718","Johor"
"Mercedes-Benz E200","Johor"
"Honda Civic","Kuala Lumpur"
"Honda BR-V","Johor"
"Honda BR-V","Johor"
"Perodua Aruz","Johor"
"Volkswagen Cross Touran","Johor"
"Ford Fiesta","Selangor"
"Honda Jazz","Selangor"
"Toyota Fortuner","Selangor"
"Kia Picanto","Johor"
"Ford Focus","Johor"
"Mazda 3","Johor"
"Mercedes-Benz A200","Selangor"
"Perodua Alza","Johor"
"Mercedes-Benz A45 AMG","Selangor"
"Honda Accord","Johor"
"Hyundai Grand Starex","Johor"
"Kia Sorento","Kuala Lumpur"
"Ford EcoSport","Kuala Lumpur"
"Honda HR-V","Selangor"
"Audi A4","Kuala Lumpur"
"Proton Perdana","Selangor"
"Mercedes-Benz CLA200","Kuala Lumpur"
"Toyota Vios","Johor"
"Perodua Myvi","Selangor"
"Proton Persona","Selangor"
"BMW 530i","Johor"
"BMW 328i","Kuala Lumpur"
"Volkswagen Golf","Kuala Lumpur"
"BMW 328i","Selangor"
"Ssangyong Stavic","Selangor"
"Mercedes-Benz B200","Selangor"
"Mazda 3","Kedah"
"Honda HR-V","Kedah"
"Honda Civic","Kedah"
"Mazda CX-5","Kedah"
"Toyota Vios","Kedah"
"Mazda 2","Kedah"
"Land Rover Range Rover Evoque","Kuala Lumpur"
"Subaru XV","Kuala Lumpur"
"MINI Countryman","Kuala Lumpur"
"Isuzu D-Max","Selangor"
"Mazda CX-5","Penang"
